S2.2-B3-L-T,rtsp://admin:admin12345@172.28.128.58:554/Streaming/Channels/1601
S2.2-B3-L-M,rtsp://admin:admin12345@172.28.128.58:554/Streaming/Channels/1301
S2.2-B3-L-B,rtsp://admin:admin12345@172.28.128.58:554/Streaming/Channels/1501
S2.2-B3-B,rtsp://admin:admin12345@172.28.128.58:554/Streaming/Channels/1401
S2.2-B3-R-T,rtsp://admin:admin12345@172.28.128.58:554/Streaming/Channels/1001
S2.2-B3-R-M,rtsp://admin:admin12345@172.28.128.58:554/Streaming/Channels/0901
S2.2-B3-R-B,rtsp://admin:admin12345@172.28.128.58:554/Streaming/Channels/1101
S2.1-B4-T,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/1201
S2.1-B4-L-T,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/1501
S2.1-B4-L-M,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/1601
S2.1-B4-L-B,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/1301
S2.1-B4-B,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/1401
S2.1-B4-R-T,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/0901
S2.1-B4-R-M,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/1101
S2.1-B4-R-B,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/1001
S2.2-B4-T,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/0501
S2.2-B4-L-T,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/0701
S2.2-B4-L-M,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/0801
S2.2-B4-L-B,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/0601
S2.2-B4-B,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/0201
S2.2-B4-R-T,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/0101
S2.2-B4-R-M,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/0301
S2.2-B4-R-B,rtsp://admin:admin12345@172.28.248.233:554/Streaming/Channels/0401
S2-B3a-T,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/1501
S2-B3a-B,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/1601
S2-B3b-R-T,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/1001
S2-B3b-R-TR,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/1101
S2-B3b-R-TL,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/0901
S2-B3b-R-B,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/1401
S2-B3b-R-BR,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/1301
S2-B3b-R-BL,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/1201
S2-B3b-L-T,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/0801
S2-B3b-L-TR,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/0601
S2-B3b-L-TL,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/0701
S2-B3b-L-B,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/0501
S2-B3b-L-BR,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/0401
S2-B3b-L-BL,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/0301
S2-B3c-T,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/0201
S2-B3c-B,rtsp://admin:admin12345@172.28.238.197:554/Streaming/Channels/0101
S2-B4a-T,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/0201
S2-B4a-B,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/0101
S2-B4b-R-T,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/0501
S2-B4b-R-TR,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/0601
S2-B4b-R-TL,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/0401
S2-B4b-R-B,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/0301
S2-B4b-R-BR,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/0801
S2-B4b-R-BL,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/0701
S2-B4b-L-T,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/1401
S2-B4b-L-TR,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/1201
S2-B4b-L-TL,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/1301
S2-B4b-L-B,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/1001
S2-B4b-L-BR,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/0901
S2-B4b-L-BL,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/1101
S2-B4c-T,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/1501
S2-B4c-B,rtsp://admin:admin12345@172.28.245.246:554/Streaming/Channels/1601
